,is_fraud_pred,pred_proba_fraude
75721,False,0.22848136912927683
80184,False,0.14229380995282892
19864,False,0.2438057815799003
76699,False,0.19765152145038958
92991,False,0.1853437296481196
76434,False,0.1315808961426998
84004,False,0.24033123894647768
80917,False,0.2355623264320427
60767,False,0.21915465467389994
50074,False,0.15966594336035556
27701,False,0.11581696979308295
42141,False,0.22176976442255797
45080,False,0.24429564467386078
16638,False,0.24158724648607344
20424,False,0.18530191805853374
88702,False,0.2894164649418738
149,True,0.9369758356087281
1761,False,0.20653134928249875
63120,False,0.23100122703331671
69161,False,0.16898330681242574
64883,False,0.20015959845960202
2495,False,0.14926001759442797
80296,False,0.21604236878026598
19447,False,0.26382661209652186
41331,False,0.15425617599523875
14888,False,0.22621722478105638
88636,False,0.186414096666301
94892,False,0.20582364245050727
92731,False,0.217871130567531
29130,False,0.13560493961168923
79022,False,0.17268175179027812
84936,False,0.3556835243333341
16821,False,0.1672268859287736
36733,False,0.23560008853431794
15602,False,0.18362535580913347
28533,False,0.20638644380844556
69769,False,0.184969109475553
11405,False,0.2768090755468109
96852,False,0.1780316648348122
16130,False,0.23444023941888922
19792,False,0.23088434915321973
89577,False,0.1288525853812165
40163,False,0.1643443982072585
31776,False,0.22679661561114245
25330,False,0.2852612011068301
79156,False,0.19894514409557879
51685,True,0.8756749453857767
75498,False,0.18601664137444263
4727,False,0.32193830156064046
85198,False,0.20952243175563198
35795,False,0.07139500021633109
12256,False,0.18817131457210326
35718,False,0.21304979596122622
70551,False,0.17751394660827946
54374,False,0.10803459836373928
39691,False,0.14956338444379985
93702,False,0.16080276501909516
73691,False,0.15483130723373234
98070,False,0.19765152145038958
575,False,0.24997497816804473
84610,False,0.15894946568232418
61769,False,0.2450587818279006
32260,False,0.14210078943654778
82199,False,0.17502810744992825
36290,False,0.18805837900236907
78449,False,0.19625917512830773
60055,False,0.18075827827348634
45948,False,0.21338941459445276
28177,False,0.23305733412316204
84463,False,0.2587720296610548
578,False,0.20769962714976553
30959,False,0.20267057289319368
64290,False,0.1786786427601616
14531,False,0.16979105675698025
17933,False,0.1747022228216612
33608,False,0.20789376242673807
49959,False,0.20245867160976155
